Date,Open,High,Low,Close,Adj Close,Volume
2009-09-07,20617.400391,21322.550781,20617.400391,21161.419922,21161.419922,8336661300
2009-09-14,20841.509766,21929.789063,20819.929688,21623.449219,21623.449219,8745503900
2009-09-21,21574.939453,21742.390625,20766.460938,21024.400391,21024.400391,7163331700
2009-09-28,20798.519531,21090.490234,20323.589844,20375.490234,20375.490234,5537770400
2009-10-05,20342.580078,21572.699219,20305.060547,21499.439453,21499.439453,7500603600
2009-10-12,21623.330078,22250.349609,21262.710938,21929.900391,21929.900391,9142346900
2009-10-19,21761.830078,22620.009766,21761.830078,22589.730469,22589.730469,8599700000
2009-10-26,22589.730469,22589.730469,21134.330078,21752.869141,21752.869141,7877421400
2009-11-02,21194.119141,21931.359375,21130.900391,21829.720703,21829.720703,7370694000
2009-11-09,22004.509766,22707.359375,21941.619141,22553.630859,22553.630859,5824539500
2009-11-16,22789.990234,23099.570313,22376.359375,22455.839844,22455.839844,7320786200
2009-11-23,22541.689453,22813.929688,21002.490234,21134.500000,21134.500000,12095847100
2009-11-30,21687.689453,22593.720703,21687.689453,22498.150391,22498.150391,7944287400
2009-12-07,22387.230469,22476.619141,21565.580078,21902.109375,21902.109375,7160398300
2009-12-14,21638.970703,22225.769531,21078.199219,21175.880859,21175.880859,9105465000
2009-12-21,21110.240234,21591.990234,20932.769531,21517.000000,21517.000000,4156149000
2009-12-28,21622.130859,21886.320313,21320.109375,21872.500000,21872.500000,3913874800
2010-01-04,21860.039063,22548.029297,21689.220703,22296.750000,22296.750000,8193406300
2010-01-11,22524.179688,22671.919922,21581.070313,21654.160156,21654.160156,12362114600
2010-01-18,21418.339844,21681.689453,20250.359375,20726.179688,20726.179688,11664362200
2010-01-25,20447.789063,20619.699219,19916.339844,20121.990234,20121.990234,9667128000
2010-02-01,19987.669922,20780.500000,19655.880859,19665.080078,19665.080078,9308926900
2010-02-08,19614.849609,20428.320313,19423.050781,20268.689453,20268.689453,7359960900
2010-02-15,20657.859375,20684.220703,19874.550781,19894.019531,19894.019531,3161840900
2010-02-22,20407.839844,20711.750000,20120.099609,20608.699219,20608.699219,7517782000
2010-03-01,20853.080078,21056.929688,20575.779297,20787.970703,20787.970703,11342411100
2010-03-08,21099.710938,21333.060547,21059.060547,21209.740234,21209.740234,7298215200
2010-03-15,21036.419922,21440.810547,20964.310547,21370.820313,21370.820313,6472605500
2010-03-22,21120.429688,21211.080078,20659.279297,21053.109375,21053.109375,7428415200
2010-03-29,21148.050781,21547.660156,21125.910156,21537.000000,21537.000000,7363053300
2010-04-05,21537.000000,22249.230469,21537.000000,22208.500000,22208.500000,6710078800
2010-04-12,22388.769531,22388.769531,21788.880859,21865.259766,21865.259766,8706814500
2010-04-19,21557.779297,21740.640625,21206.740234,21244.490234,21244.490234,8053509500
2010-04-26,21501.210938,21617.849609,20763.339844,21108.589844,21108.589844,8260721200
2010-05-03,20799.789063,21011.949219,19699.500000,19920.289063,19920.289063,9466737000
2010-05-10,20118.949219,20526.580078,19977.099609,20145.429688,20145.429688,7574648400
2010-05-17,19832.029297,20013.330078,19276.460938,19545.830078,19545.830078,5957691200
2010-05-24,19470.279297,19910.060547,18971.519531,19766.710938,19766.710938,10277540300
2010-05-31,19705.529297,19859.800781,19372.130859,19780.070313,19780.070313,5688571700
2010-06-07,19211.669922,19995.640625,19211.669922,19872.380859,19872.380859,5860134500
2010-06-14,20102.550781,20315.419922,19970.910156,20286.710938,20286.710938,4399107300
2010-06-21,20571.400391,20957.089844,20563.929688,20690.789063,20690.789063,8538326100
2010-06-28,20718.080078,20862.380859,19803.220703,19905.320313,19905.320313,5915519600
2010-07-05,19809.060547,20418.310547,19777.830078,20378.660156,20378.660156,6351172800
2010-07-12,20476.019531,20722.220703,20173.490234,20250.160156,20250.160156,7787018100
2010-07-19,20007.880859,20847.849609,20007.880859,20815.330078,20815.330078,5917377500
2010-07-26,20944.630859,21199.550781,20824.050781,21029.810547,21029.810547,5569620900
2010-08-02,21221.429688,21722.380859,21221.429688,21678.800781,21678.800781,6559120100
2010-08-09,21640.529297,21805.939453,20926.480469,21071.570313,21071.570313,6659130500
2010-08-16,20881.949219,21297.619141,20868.240234,20981.820313,20981.820313,5441538800
2010-08-23,20963.250000,21035.009766,20512.779297,20597.349609,20597.349609,5565658400
2010-08-30,20797.009766,21028.660156,20372.289063,20971.500000,20971.500000,6114006200
2010-09-06,21155.910156,21435.580078,21066.689453,21257.390625,21257.390625,6931939400
2010-09-13,21396.900391,21988.869141,21395.570313,21970.859375,21970.859375,8026568800
2010-09-20,21918.449219,22229.179688,21874.419922,22119.429688,22119.429688,5100327300
2010-09-27,22351.330078,22439.189453,22091.130859,22358.169922,22358.169922,7332165800
2010-10-04,22542.359375,23093.769531,22504.050781,22944.179688,22944.179688,11413536900
2010-10-11,23169.130859,23866.869141,23035.570313,23757.630859,23757.630859,13976538600
2010-10-18,23693.119141,23768.089844,23307.490234,23517.539063,23517.539063,9492283700
2010-10-25,23551.140625,23781.880859,22880.679688,23096.320313,23096.320313,7964469300
